"rt" "Condition" "Condition_label" "Subject" "Chain" "Generation" "Language" "Hue_source" "Saturation_source" "Lightness_source" "Hue_matched" "Saturation_matched" "Lighness_matched" "Color_label_source" "Color_label_matched"
"1" 20860 2 "Naming transmission" "wqe4" 2 0 "Danish" 117.98 60 50 103 62 50 "seed græsgrøn" "seed græsgrøn"
"2" 9553 2 "Naming transmission" "wqe4" 2 0 "Danish" 179.34 60 50 177 51 50 "seed havblå" "seed havblå"
"3" 19141 2 "Naming transmission" "wqe4" 2 0 "Danish" 327.55 60 50 321 64 50 "seed mørk rosa" "seed mørk rosa"
"4" 8341 2 "Naming transmission" "wqe4" 2 0 "Danish" 49.85 60 50 52 60 50 "seed sennepsgul" "seed sennepsgul"
"5" 5710 1 "Pure transmission" "xh1c" 0 0 "English" 117.98 60 50 124 67 50 "seed grass green" "seed grass green"
"6" 5140 1 "Pure transmission" "xh1c" 0 0 "English" 327.55 60 50 321 70 50 "seed dark rose" "seed dark rose"
"7" 8194 1 "Pure transmission" "xh1c" 0 0 "English" 49.85 60 50 46 57 50 "seed mustard" "seed mustard"
"8" 6247 1 "Pure transmission" "xh1c" 0 0 "English" 179.34 60 50 181 71 50 "seed ocean blue" "seed ocean blue"
"9" 17288 1 "Pure transmission" "vpuu" 0 1 "English" 46 57 50 39 62 50 "seed mustard" "seed mustard"
"10" 16662 1 "Pure transmission" "vpuu" 0 1 "English" 321 70 50 310 62 50 "seed dark rose" "seed dark rose"
"11" 5201 1 "Pure transmission" "vpuu" 0 1 "English" 124 67 50 113 51 50 "seed grass green" "seed grass green"
"12" 11246 1 "Pure transmission" "vpuu" 0 1 "English" 181 71 50 181 70 50 "seed ocean blue" "seed ocean blue"
"13" 15744 1 "Pure transmission" "664l" 0 2 "English" 113 51 50 118 52 50 "seed grass green" "seed grass green"
"14" 3138 1 "Pure transmission" "664l" 0 2 "English" 39 62 50 38 78 50 "seed mustard" "seed mustard"
"15" 9422 1 "Pure transmission" "664l" 0 2 "English" 181 70 50 183 70 50 "seed ocean blue" "seed ocean blue"
"16" 17452 1 "Pure transmission" "664l" 0 2 "English" 310 62 50 311 65 50 "seed dark rose" "seed dark rose"
"17" 50678 1 "Pure transmission" "vnhp" 0 3 "English" 311 65 50 314 61 50 "seed dark rose" "seed dark rose"
"18" 17990 1 "Pure transmission" "vnhp" 0 3 "English" 183 70 50 185 69 50 "seed ocean blue" "seed ocean blue"
"19" 12837 1 "Pure transmission" "vnhp" 0 3 "English" 118 52 50 114 59 50 "seed grass green" "seed grass green"
"20" 33751 1 "Pure transmission" "vnhp" 0 3 "English" 38 78 50 37 70 50 "seed mustard" "seed mustard"
"21" 18668 2 "Naming transmission" "pdov" 0 2 "English" 136 50 50 137 58 50 "seed grass green" "seed grass green"
"22" 38904 2 "Naming transmission" "pdov" 0 2 "English" 328 46 50 321 61 50 "seed dark rose" "seed dark rose"
"23" 10840 2 "Naming transmission" "pdov" 0 2 "English" 182 66 50 184 68 50 "seed ocean blue" "seed ocean blue"
"24" 10853 2 "Naming transmission" "pdov" 0 2 "English" 43 69 50 44 78 50 "seed mustard" "seed mustard"
"25" 90002 2 "Naming transmission" "eqex" 0 1 "English" 48 72 50 43 69 50 "seed mustard" "seed mustard"
"26" 9420 2 "Naming transmission" "eqex" 0 1 "English" 321 52 50 328 46 50 "seed dark rose" "seed dark rose"
"27" 21095 2 "Naming transmission" "eqex" 0 1 "English" 133 43 50 136 50 50 "seed grass green" "seed grass green"
"28" 19758 2 "Naming transmission" "eqex" 0 1 "English" 180 71 50 182 66 50 "seed ocean blue" "seed ocean blue"
"29" 36850 2 "Naming transmission" "28dd" 0 0 "English" 117.98 60 50 133 43 50 "seed grass green" "seed grass green"
"30" 6990 2 "Naming transmission" "28dd" 0 0 "English" 327.55 60 50 321 52 50 "seed dark rose" "seed dark rose"
"31" 16217 2 "Naming transmission" "28dd" 0 0 "English" 179.34 60 50 180 71 50 "seed ocean blue" "seed ocean blue"
"32" 13305 2 "Naming transmission" "28dd" 0 0 "English" 49.85 60 50 48 72 50 "seed mustard" "seed mustard"
"33" 13995 1 "Pure transmission" "tyuw" 0 2 "Danish" 117 62 50 132 75 50 "seed græsgrøn" "seed græsgrøn"
"34" 7952 1 "Pure transmission" "tyuw" 0 2 "Danish" 52 64 50 55 65 50 "seed sennepsgul" "seed sennepsgul"
"35" 11360 1 "Pure transmission" "tyuw" 0 2 "Danish" 327 59 50 319 65 50 "seed mørk rosa" "seed mørk rosa"
"36" 22346 1 "Pure transmission" "tyuw" 0 2 "Danish" 180 52 50 182 60 50 "seed havblå" "seed havblå"
"37" 14898 1 "Pure transmission" "7t79" 0 3 "Danish" 319 65 50 320 63 50 "seed mørk rosa" "seed mørk rosa"
"38" 12402 1 "Pure transmission" "7t79" 0 3 "Danish" 55 65 50 60 58 50 "seed sennepsgul" "seed sennepsgul"
"39" 26925 1 "Pure transmission" "7t79" 0 3 "Danish" 182 60 50 190 56 50 "seed havblå" "seed havblå"
"40" 19148 1 "Pure transmission" "7t79" 0 3 "Danish" 132 75 50 100 68 50 "seed græsgrøn" "seed græsgrøn"
"41" 7689 1 "Pure transmission" "v4er" 1 0 "Danish" 179.34 60 50 182 59 50 "seed havblå" "seed havblå"
"42" 10300 1 "Pure transmission" "v4er" 1 0 "Danish" 117.98 60 50 114 60 50 "seed græsgrøn" "seed græsgrøn"
"43" 6080 1 "Pure transmission" "v4er" 1 0 "Danish" 49.85 60 50 45 55 50 "seed sennepsgul" "seed sennepsgul"
"44" 9142 1 "Pure transmission" "v4er" 1 0 "Danish" 327.55 60 50 314 64 50 "seed mørk rosa" "seed mørk rosa"
"45" 13938 1 "Pure transmission" "fal4" 1 1 "Danish" 314 64 50 300 64 50 "seed mørk rosa" "seed mørk rosa"
"46" 9620 1 "Pure transmission" "fal4" 1 1 "Danish" 182 59 50 180 76 50 "seed havblå" "seed havblå"
"47" 4651 1 "Pure transmission" "fal4" 1 1 "Danish" 45 55 50 46 67 50 "seed sennepsgul" "seed sennepsgul"
"48" 2311 1 "Pure transmission" "fal4" 1 1 "Danish" 114 60 50 135 65 50 "seed græsgrøn" "seed græsgrøn"
"49" 9285 2 "Naming transmission" "tupe" 0 0 "Danish" 117.98 60 50 110 40 50 "seed græsgrøn" "seed græsgrøn"
"50" 56521 2 "Naming transmission" "tupe" 0 0 "Danish" 49.85 60 50 46 30 50 "seed sennepsgul" "seed sennepsgul"
"51" 13527 2 "Naming transmission" "tupe" 0 0 "Danish" 179.34 60 50 186 30 50 "seed havblå" "seed havblå"
"52" 3843 2 "Naming transmission" "tupe" 0 0 "Danish" 327.55 60 50 321 42 50 "seed mørk rosa" "seed mørk rosa"
"53" 7340 2 "Naming transmission" "zxyn" 0 1 "Danish" 186 30 50 185 29 50 "seed havblå" "seed havblå"
"54" 13742 2 "Naming transmission" "zxyn" 0 1 "Danish" 321 42 50 320 38 50 "seed mørk rosa" "seed mørk rosa"
"55" 27474 2 "Naming transmission" "zxyn" 0 1 "Danish" 110 40 50 112 27 50 "seed græsgrøn" "seed græsgrøn"
"56" 62991 2 "Naming transmission" "zxyn" 0 1 "Danish" 46 30 50 47 38 50 "seed sennepsgul" "seed sennepsgul"
"57" 65411 2 "Naming transmission" "m95k" 0 2 "Danish" 320 38 50 322 40 50 "seed mørk rosa" "seed mørk rosa"
"58" 15831 2 "Naming transmission" "m95k" 0 2 "Danish" 47 38 50 49 37 50 "seed sennepsgul" "seed sennepsgul"
"59" 34826 2 "Naming transmission" "m95k" 0 2 "Danish" 185 29 50 180 29 50 "seed havblå" "seed havblå"
"60" 80087 2 "Naming transmission" "m95k" 0 2 "Danish" 112 27 50 113 34 50 "seed græsgrøn" "seed græsgrøn"
"61" 6032 2 "Naming transmission" "839z" 0 3 "Danish" 322 40 50 315 57 50 "seed mørk rosa" "seed mørk rosa"
"62" 19681 2 "Naming transmission" "839z" 0 3 "Danish" 180 29 50 180 35 50 "seed havblå" "seed havblå"
"63" 8608 2 "Naming transmission" "839z" 0 3 "Danish" 49 37 50 53 37 50 "seed sennepsgul" "seed sennepsgul"
"64" 9104 2 "Naming transmission" "839z" 0 3 "Danish" 113 34 50 115 36 50 "seed græsgrøn" "seed græsgrøn"
"65" 30315 1 "Pure transmission" "80cs" 0 1 "Danish" 179 64 50 180 52 50 "seed havblå" "seed havblå"
"66" 24091 1 "Pure transmission" "80cs" 0 1 "Danish" 113 61 50 117 62 50 "seed græsgrøn" "seed græsgrøn"
"67" 12264 1 "Pure transmission" "80cs" 0 1 "Danish" 50 62 50 52 64 50 "seed sennepsgul" "seed sennepsgul"
"68" 22514 1 "Pure transmission" "80cs" 0 1 "Danish" 327 65 50 327 59 50 "seed mørk rosa" "seed mørk rosa"
