"Condition_label" "basic_colors" "creative_name" "Chain" "Generation" "Subject" "Condition" "Language" "Hue_color_to_name" "Saturatio_color_to_name" "Lightness_color_to_name" "Color_label_naming"
"1" "Naming transmission" "green" "Lysegrøn" 2 0 "wqe4" 2 "Danish" 103 62 50 "seed græsgrøn"
"2" "Naming transmission" "blue" "Turkis" 2 0 "wqe4" 2 "Danish" 177 51 50 "seed havblå"
"3" "Naming transmission" "pink" "Lyseviolet" 2 0 "wqe4" 2 "Danish" 321 64 50 "seed mørk rosa"
"4" "Naming transmission" "yellow" "Sennepsgul" 2 0 "wqe4" 2 "Danish" 52 60 50 "seed sennepsgul"
"5" "Pure transmission" "green" "lime green" 0 0 "xh1c" 1 "English" 124 67 50 "seed grass green"
"6" "Pure transmission" "purple" "magenta" 0 0 "xh1c" 1 "English" 321 70 50 "seed dark rose"
"7" "Pure transmission" "brown" "dijon mustard" 0 0 "xh1c" 1 "English" 46 57 50 "seed mustard"
"8" "Pure transmission" "blue" "solid azure" 0 0 "xh1c" 1 "English" 181 71 50 "seed ocean blue"
"9" "Pure transmission" "brown" "mustard" 0 1 "vpuu" 1 "English" 39 62 50 "seed mustard"
"10" "Pure transmission" "pink" "fucsia" 0 1 "vpuu" 1 "English" 310 62 50 "seed dark rose"
"11" "Pure transmission" "green" "bright green" 0 1 "vpuu" 1 "English" 113 51 50 "seed grass green"
"12" "Pure transmission" "blue" "turquoise" 0 1 "vpuu" 1 "English" 181 70 50 "seed ocean blue"
"13" "Pure transmission" "green" "light grass" 0 2 "664l" 1 "English" 118 52 50 "seed grass green"
"14" "Pure transmission" "orange" "sunrise" 0 2 "664l" 1 "English" 38 78 50 "seed mustard"
"15" "Pure transmission" "blue" "intense blue " 0 2 "664l" 1 "English" 183 70 50 "seed ocean blue"
"16" "Pure transmission" "purple" "purple" 0 2 "664l" 1 "English" 311 65 50 "seed dark rose"
"17" "Pure transmission" "purple" "Light acid purple" 0 3 "vnhp" 1 "English" 314 61 50 "seed dark rose"
"18" "Pure transmission" "blue" "Aquamarine" 0 3 "vnhp" 1 "English" 185 69 50 "seed ocean blue"
"19" "Pure transmission" "green" "Grass green" 0 3 "vnhp" 1 "English" 114 59 50 "seed grass green"
"20" "Pure transmission" "orange" "Sand" 0 3 "vnhp" 1 "English" 37 70 50 "seed mustard"
